data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time,random_seed,scenario
1800.0, MRT_to_KB_001.37_2,5.22,11.19,1.0,64607,dynamic_QL_vehicle_data
1800.0, P_to_KBJ_1,17.75,17.75,54.0,64607,dynamic_QL_vehicle_data
1800.0, P_to_KBJ_2,39.01,39.01,94.0,64607,dynamic_QL_vehicle_data
2100.0, CMB_to_KBJ_001_1,13.25,13.25,50.0,64607,dynamic_QL_vehicle_data
2100.0, MRT_to_KB_001.37_1,0.0,15.18,0.0,64607,dynamic_QL_vehicle_data
2100.0, MRT_to_KB_001.37_5,19.26,19.26,108.0,64607,dynamic_QL_vehicle_data
2100.0, P_to_KBJ_1,48.78,48.78,95.0,64607,dynamic_QL_vehicle_data
2100.0, P_to_KBJ_2,40.96,40.96,80.0,64607,dynamic_QL_vehicle_data
2400.0, CMB_to_KBJ_001_2,3.55,3.55,22.0,64607,dynamic_QL_vehicle_data
2400.0, CMB_to_KBJ_001_3,5.2,5.2,15.0,64607,dynamic_QL_vehicle_data
2400.0, KBJ_to_CMB_001_1,0.0,24.95,0.0,64607,dynamic_QL_vehicle_data
2400.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,dynamic_QL_vehicle_data
2400.0, MRT_to_KB_001.37_5,19.7,19.7,80.0,64607,dynamic_QL_vehicle_data
2400.0, P_to_KBJ_1,6.05,6.05,48.0,64607,dynamic_QL_vehicle_data
2400.0, P_to_KBJ_2,61.36,61.36,66.0,64607,dynamic_QL_vehicle_data
2700.0, CMB_to_KBJ_001_1,10.9,10.9,12.0,64607,dynamic_QL_vehicle_data
2700.0, CMB_to_KBJ_001_2,6.3,6.3,2.0,64607,dynamic_QL_vehicle_data
2700.0, MRT_to_KB_001.37_1,0.0,15.16,0.0,64607,dynamic_QL_vehicle_data
2700.0, MRT_to_KB_001.37_5,16.75,16.75,78.0,64607,dynamic_QL_vehicle_data
2700.0, P_to_KBJ_2,17.68,17.68,72.0,64607,dynamic_QL_vehicle_data
3000.0, CMB_to_KBJ_001_1,3.0,3.0,8.0,64607,dynamic_QL_vehicle_data
3000.0, KBJ_to_CMB_001_1,0.0,24.96,0.0,64607,dynamic_QL_vehicle_data
3000.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,dynamic_QL_vehicle_data
3000.0, MRT_to_KB_001.37_5,5.2,8.86,18.0,64607,dynamic_QL_vehicle_data
3000.0, P_to_KBJ_1,5.2,5.2,40.0,64607,dynamic_QL_vehicle_data
3000.0, P_to_KBJ_2,52.36,52.36,65.0,64607,dynamic_QL_vehicle_data
3300.0, CMB_to_KBJ_001_1,6.3,6.3,9.0,64607,dynamic_QL_vehicle_data
3300.0, KBJ_to_CMB_002_2,0.0,53.55,0.0,64607,dynamic_QL_vehicle_data
3300.0, MRT_to_KB_001.37_1,0.0,15.14,0.0,64607,dynamic_QL_vehicle_data
3300.0, MRT_to_KB_001.37_5,16.45,16.45,47.0,64607,dynamic_QL_vehicle_data
3300.0, P_to_KBJ_1,22.7,22.7,48.0,64607,dynamic_QL_vehicle_data
3300.0, P_to_KBJ_2,43.66,43.66,45.0,64607,dynamic_QL_vehicle_data
3600.0, KBJ_to_CMB_001_1,0.0,24.97,0.0,64607,dynamic_QL_vehicle_data
3600.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,dynamic_QL_vehicle_data
3600.0, MRT_to_KB_001.37_5,22.31,22.31,48.0,64607,dynamic_QL_vehicle_data
3600.0, P_to_KBJ_1,22.31,22.31,47.0,64607,dynamic_QL_vehicle_data
3600.0, P_to_KBJ_2,77.25,83.02,22.0,64607,dynamic_QL_vehicle_data
3900.0, CMB_to_KBJ_001_1,26.66,23.31,112.0,64607,dynamic_QL_vehicle_data
3900.0, CMB_to_KBJ_001_2,20.03,20.03,88.0,64607,dynamic_QL_vehicle_data
3900.0, CMB_to_KBJ_001_3,13.56,13.56,61.0,64607,dynamic_QL_vehicle_data
3900.0, CMB_to_KBJ_001_4,10.9,10.9,51.0,64607,dynamic_QL_vehicle_data
3900.0, MRT_to_KB_001.37_1,0.0,15.15,0.0,64607,dynamic_QL_vehicle_data
3900.0, MRT_to_KB_001.37_2,39.96,34.26,53.0,64607,dynamic_QL_vehicle_data
3900.0, MRT_to_KB_001.37_3,46.26,33.11,56.0,64607,dynamic_QL_vehicle_data
3900.0, MRT_to_KB_001.37_4,41.06,32.71,48.0,64607,dynamic_QL_vehicle_data
3900.0, MRT_to_KB_001.37_5,5.2,5.2,22.0,64607,dynamic_QL_vehicle_data
3900.0, P_to_KBJ_1,8.7,14.44,10.0,64607,dynamic_QL_vehicle_data
3900.0, P_to_KBJ_2,131.01,0.0,123.0,64607,dynamic_QL_vehicle_data
4200.0, CMB_to_KBJ_001_1,10.9,10.9,70.0,64607,dynamic_QL_vehicle_data
4200.0, CMB_to_KBJ_001_2,27.7,21.4,63.0,64607,dynamic_QL_vehicle_data
4200.0, CMB_to_KBJ_001_3,13.25,13.25,50.0,64607,dynamic_QL_vehicle_data
4200.0, CMB_to_KBJ_001_4,10.9,10.9,44.0,64607,dynamic_QL_vehicle_data
4200.0, KBJ_to_CMB_001_1,0.0,24.96,0.0,64607,dynamic_QL_vehicle_data
4200.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,dynamic_QL_vehicle_data
4200.0, MRT_to_KB_001.37_2,14.7,14.7,31.0,64607,dynamic_QL_vehicle_data
4200.0, MRT_to_KB_001.37_3,29.05,29.05,33.0,64607,dynamic_QL_vehicle_data
