tripinfo_arrival, tripinfo_arrivalLane, tripinfo_arrivalPos, tripinfo_arrivalPosLat, tripinfo_arrivalSpeed, tripinfo_depart, tripinfo_departDelay, tripinfo_departLane, tripinfo_departPos, tripinfo_departPosLat, tripinfo_departSpeed, tripinfo_devices, tripinfo_duration, tripinfo_id, tripinfo_rerouteNo, tripinfo_routeLength, tripinfo_speedFactor, tripinfo_stopTime, tripinfo_timeLoss, tripinfo_vType, tripinfo_vaporized, tripinfo_waitingCount, tripinfo_waitingTime
164.00, 30093400_1, 127.33, -0.35, 8.15, 82.00, 0.75, CMB_to_KBJ_003_2, 4.30, 0.00, 0.00, tripinfo_0_31, 82.00, 0_31, 0, 435.79, 1.09, 0.00, 50.06, Car, , 1, 31.00
164.00, KBJ_to_CMB_002_3, 146.55, -0.60, 11.70, 96.00, 0.92, MRT_to_KB_003_1, 4.30, 0.00, 0.00, tripinfo_0_37, 68.00, 0_37, 0, 397.15, 1.06, 0.00, 43.63, Car, , 2, 24.00
165.00, KBJ_to_CMB_001_2, 57.78, -0.00, 16.56, 151.00, 0.21, MRT_to_KB_001.37_2, 2.65, 0.00, 0.00, tripinfo_0_62, 14.00, 0_62, 0, 134.28, 1.21, 0.00, 5.43, 3_Wheeler, , 0, 0.00
169.00, 30093400_1, 127.33, 1.15, 7.99, 131.00, 0.84, CMB_to_KBJ_001_2, 2.10, 0.00, 0.00, tripinfo_0_53, 38.00, 0_53, 0, 244.26, 0.98, 0.00, 13.99, Motor_Cycle, , 1, 1.00
170.00, KBJ_to_CMB_002_2, 146.55, 0.75, 9.83, 120.00, 0.45, MRT_to_KB_001_3, 2.65, 0.00, 0.00, tripinfo_0_49, 50.00, 0_49, 0, 348.23, 1.02, 0.00, 27.64, 3_Wheeler, , 1, 1.00
171.00, KBJ_to_CMB_002_3, 146.55, -0.60, 13.06, 126.00, 0.12, MRT_to_KB_003_1, 4.30, 0.00, 0.00, tripinfo_0_51, 45.00, 0_51, 0, 397.15, 1.05, 0.00, 20.01, Car, , 0, 0.00
171.00, KBJ_to_CMB_002_2, 146.55, -0.05, 14.15, 129.00, 0.54, MRT_to_KB_001_2, 2.10, 0.00, 0.00, tripinfo_0_52, 42.00, 0_52, 0, 348.78, 0.96, 0.00, 18.24, Motor_Cycle, , 1, 1.00
172.00, KBJ_to_CMB_002_2, 146.55, 1.25, 14.27, 148.00, 0.52, MRT_to_KB_001.37_3, 2.10, 0.00, 0.00, tripinfo_0_59, 24.00, 0_59, 0, 299.99, 0.94, 0.00, 4.00, Motor_Cycle, , 0, 0.00
172.00, KBJ_to_CMB_002_3, 146.55, 0.00, 14.32, 148.00, 0.24, MRT_to_KB_001.37_4, 2.10, 0.00, 0.00, tripinfo_0_60, 24.00, 0_60, 0, 299.99, 0.98, 0.00, 4.75, Motor_Cycle, , 0, 0.00
174.00, KBJ_to_CMB_002_2, 146.55, 1.25, 15.90, 140.00, 0.32, MRT_to_KB_003_1, 2.65, 0.00, 0.00, tripinfo_0_56, 34.00, 0_56, 0, 398.80, 0.99, 0.00, 7.55, 3_Wheeler, , 0, 0.00
176.00, KBJ_to_CMB_002_2, 146.55, 0.15, 14.78, 143.00, 0.96, MRT_to_KB_003_2, 2.10, 0.00, 0.00, tripinfo_0_57, 33.00, 0_57, 0, 399.35, 0.89, 0.00, 3.97, Motor_Cycle, , 0, 0.00
177.00, KBJ_to_CMB_001_3, 57.78, 0.45, 16.24, 154.00, 0.60, MRT_to_KB_003_1, 2.65, 0.00, 0.00, tripinfo_0_64, 23.00, 0_64, 0, 233.64, 1.03, 0.00, 7.37, 3_Wheeler, , 0, 0.00
178.00, KBJ_to_CMB_002_2, 146.55, 0.45, 17.95, 151.00, 0.06, MRT_to_KB_001_2, 4.30, 0.00, 0.00, tripinfo_0_63, 27.00, 0_63, 0, 346.58, 1.08, 0.00, 6.00, Car, , 0, 0.00
178.00, KBJ_to_CMB_001_2, 57.78, 0.90, 15.06, 165.00, 2.21, MRT_to_KB_001.37_2, 2.10, 0.00, 0.00, tripinfo_0_70, 13.00, 0_70, 0, 134.83, 0.94, 0.00, 3.52, Motor_Cycle, , 0, 0.00
180.00, KBJ_to_CMB_001_4, 57.78, -0.10, 12.05, 164.00, 1.81, MRT_to_KB_001.37_4, 2.65, 0.00, 0.00, tripinfo_0_69, 16.00, 0_69, 0, 134.28, 0.75, 0.00, 3.82, 3_Wheeler, , 0, 0.00
181.00, KB_to_MRT_002_1, 130.27, 0.00, 13.60, 0.00, 0.00, CMB_to_KBJ_003_1, 12.10, 0.00, 0.00, tripinfo_bus_100/101/400/412/418/428/430/433:1.0, 181.00, bus_100/101/400/412/418/428/430/433:1.0, 0, 435.77, 1.00, 51.00, 103.31, bus, , 2, 57.00
183.00, KBJ_to_CMB_002_1, 146.55, 0.00, 5.71, 0.00, 0.00, MRT_to_KB_001_1, 12.10, 0.00, 0.00, tripinfo_bus_100/101/400/412/418/428/430/433:0.0, 183.00, bus_100/101/400/412/418/428/430/433:0.0, 0, 338.78, 1.00, 120.00, 41.47, bus, , 1, 1.00
183.00, KB_to_MRT_002_2, 130.27, -0.75, 15.25, 155.00, 0.11, CMB_to_KBJ_001_2, 2.65, 0.00, 0.00, tripinfo_0_65, 28.00, 0_65, 0, 251.49, 1.26, 0.00, 12.33, 3_Wheeler, , 0, 0.00
184.00, KBJ_to_CMB_002_2, 146.55, 0.25, 16.36, 156.00, 0.50, MRT_to_KB_001_2, 2.65, 0.00, 0.00, tripinfo_0_66, 28.00, 0_66, 0, 348.23, 1.06, 0.00, 5.48, 3_Wheeler, , 0, 0.00
186.00, KBJ_to_CMB_002_3, 146.55, -1.20, 14.53, 157.00, 0.33, MRT_to_KB_001_3, 4.30, 0.00, 0.00, tripinfo_0_67, 29.00, 0_67, 0, 346.58, 0.90, 0.00, 3.90, Car, , 0, 0.00
189.00, KBJ_to_CMB_002_1, 146.55, -1.30, 15.55, 160.00, 0.59, MRT_to_KB_001_2, 2.10, 0.00, 0.00, tripinfo_0_68, 29.00, 0_68, 0, 348.78, 0.99, 0.00, 5.66, Motor_Cycle, , 0, 0.00
194.00, KBJ_to_CMB_002_2, 146.55, -1.45, 17.85, 164.00, 0.31, MRT_to_KB_003_1, 2.10, 0.00, 0.00, tripinfo_0_71, 30.00, 0_71, 0, 399.35, 1.11, 0.00, 6.12, Motor_Cycle, , 0, 0.00
194.00, KBJ_to_CMB_001_2, 57.78, 1.10, 16.80, 174.00, 0.52, MRT_to_KB_003_1, 2.10, 0.00, 0.00, tripinfo_0_78, 20.00, 0_78, 0, 234.19, 1.02, 0.00, 4.10, Motor_Cycle, , 0, 0.00
195.00, KBJ_to_CMB_002_2, 146.55, 0.45, 16.54, 165.00, 0.23, MRT_to_KB_003_2, 2.65, 0.00, 0.00, tripinfo_0_72, 30.00, 0_72, 0, 398.80, 1.07, 0.00, 5.02, 3_Wheeler, , 0, 0.00
197.00, KBJ_to_CMB_002_3, 146.55, -0.60, 17.93, 176.00, 2.93, MRT_to_KB_001.37_4, 4.30, 0.00, 0.00, tripinfo_0_77, 21.00, 0_77, 0, 297.79, 1.10, 0.00, 4.09, Car, , 0, 0.00
197.00, KBJ_to_CMB_001_3, 57.78, -0.45, 15.68, 176.00, 0.27, MRT_to_KB_003_2, 4.30, 0.00, 0.00, tripinfo_0_79, 21.00, 0_79, 0, 231.99, 0.95, 0.00, 3.51, Car, , 0, 0.00
198.00, KBJ_to_CMB_002_1, 146.55, -0.57, 13.88, 168.00, 0.96, MRT_to_KB_001_2, 6.35, 0.00, 0.00, tripinfo_0_74, 30.00, 0_74, 0, 344.53, 0.98, 0.00, 4.40, Goods_Vehicle, , 0, 0.00
201.00, KBJ_to_CMB_002_1, 146.55, 0.50, 15.19, 178.00, 0.75, MRT_to_KB_001.37_2, 4.30, 0.00, 0.00, tripinfo_0_80, 23.00, 0_80, 0, 297.79, 0.95, 0.00, 3.67, Car, , 0, 0.00
205.00, KBJ_to_CMB_002_1, 146.55, 0.00, 13.42, 173.00, 1.98, MRT_to_KB_001_2, 2.10, 0.00, 0.00, tripinfo_0_75, 32.00, 0_75, 0, 348.78, 0.90, 0.00, 6.64, Motor_Cycle, , 0, 0.00
206.00, KBJ_to_CMB_001_3, 57.78, 0.45, 14.84, 185.00, 0.24, MRT_to_KB_003_2, 2.65, 0.00, 0.00, tripinfo_0_83, 21.00, 0_83, 0, 233.64, 0.95, 0.00, 3.97, 3_Wheeler, , 0, 0.00
213.00, KBJ_to_CMB_002_1, 146.55, -0.00, 15.95, 185.00, 0.50, MRT_to_KB_001_2, 2.65, 0.00, 0.00, tripinfo_0_82, 28.00, 0_82, 0, 348.23, 1.02, 0.00, 5.17, 3_Wheeler, , 0, 0.00
215.00, KBJ_to_CMB_002_2, 146.55, -0.45, 14.45, 187.00, 0.13, MRT_to_KB_001_3, 4.30, 0.00, 0.00, tripinfo_0_84, 28.00, 0_84, 0, 346.58, 0.92, 0.00, 3.80, Car, , 0, 0.00
215.00, KBJ_to_CMB_001_2, 57.78, -0.70, 14.99, 191.00, 0.47, MRT_to_KB_003_1, 5.40, 0.00, 0.00, tripinfo_0_87, 24.00, 0_87, 0, 230.89, 0.91, 0.00, 6.05, Van, , 0, 0.00
215.00, KBJ_to_CMB_001_3, 57.78, 0.15, 16.84, 195.00, 0.01, MRT_to_KB_003_2, 2.10, 0.00, 0.00, tripinfo_0_92, 20.00, 0_92, 0, 234.19, 1.06, 0.00, 4.07, Motor_Cycle, , 0, 0.00
217.00, KBJ_to_CMB_002_1, 146.55, -0.57, 13.81, 184.00, 0.48, MRT_to_KB_003_1, 6.35, 0.00, 0.00, tripinfo_0_81, 33.00, 0_81, 0, 395.10, 1.07, 0.00, 4.51, Goods_Vehicle, , 0, 0.00
217.00, KBJ_to_CMB_002_3, 146.55, -0.60, 17.49, 195.00, 2.27, MRT_to_KB_001.37_4, 4.30, 0.00, 0.00, tripinfo_0_89, 22.00, 0_89, 0, 297.79, 1.09, 0.00, 4.65, Car, , 0, 0.00
225.00, KBJ_to_CMB_002_1, 146.55, 0.00, 14.00, 199.00, 0.94, MRT_to_KB_001.37_2, 2.10, 0.00, 0.00, tripinfo_0_94, 26.00, 0_94, 0, 299.99, 0.84, 0.00, 3.88, Motor_Cycle, , 0, 0.00
227.00, KBJ_to_CMB_002_2, 146.55, -0.25, 17.14, 198.00, 0.39, MRT_to_KB_003_1, 2.10, 0.00, 0.00, tripinfo_0_93, 29.00, 0_93, 0, 399.35, 1.06, 0.00, 4.38, Motor_Cycle, , 0, 0.00
235.00, KBJ_to_CMB_002_1, 146.55, 0.00, 15.57, 211.00, 0.25, MRT_to_KB_001.37_2, 2.65, 0.00, 0.00, tripinfo_0_99, 24.00, 0_99, 0, 299.44, 0.98, 0.00, 4.65, 3_Wheeler, , 0, 0.00
238.00, KBJ_to_P_2, 128.65, 0.50, 13.60, 89.00, 0.67, MRT_to_KB_001_4, 4.30, 0.00, 0.00, tripinfo_0_36, 149.00, 0_36, 0, 247.61, 1.05, 0.00, 131.28, Car, , 1, 120.00
238.00, KB_to_MRT_002_1, 130.27, 0.00, 13.21, 120.00, 0.00, CMB_to_KBJ_003_1, 12.10, 0.00, 0.00, tripinfo_bus_100/101/400/412/418/428/430/433:1.1, 118.00, bus_100/101/400/412/418/428/430/433:1.1, 0, 435.77, 1.00, 59.00, 32.43, bus, , 1, 1.00
240.00, KBJ_to_P_2, 128.65, 1.10, 13.08, 113.00, 0.62, MRT_to_KB_001.37_5, 2.10, 0.00, 0.00, tripinfo_0_44, 127.00, 0_44, 0, 201.02, 1.03, 0.00, 112.55, Motor_Cycle, , 1, 101.00
241.00, KBJ_to_P_1, 128.65, 1.70, 13.74, 112.00, 0.95, MRT_to_KB_003_3, 4.30, 0.00, 0.00, tripinfo_0_43, 129.00, 0_43, 0, 298.18, 1.05, 0.00, 107.45, Car, , 1, 96.00
243.00, KBJ_to_P_2, 128.65, 0.00, 13.93, 151.00, 0.55, MRT_to_KB_001.37_5, 2.65, 0.00, 0.00, tripinfo_0_61, 92.00, 0_61, 0, 200.47, 1.07, 0.00, 77.50, 3_Wheeler, , 1, 66.00
247.00, KBJ_to_P_2, 128.65, 0.50, 10.95, 190.00, 0.66, MRT_to_KB_001.37_5, 5.40, 0.00, 0.00, tripinfo_0_86, 57.00, 0_86, 0, 197.72, 0.81, 0.00, 38.64, Van, , 1, 28.00
249.00, KBJ_to_P_2, 128.65, 0.50, 10.56, 192.00, 0.77, MRT_to_KB_003_3, 5.40, 0.00, 0.00, tripinfo_0_88, 57.00, 0_88, 0, 297.08, 0.79, 0.00, 29.37, Van, , 1, 18.00
253.00, KBJ_to_P_2, 128.65, 0.50, 13.57, 228.00, 0.65, MRT_to_KB_001_4, 4.30, 0.00, 0.00, tripinfo_0_106, 25.00, 0_106, 0, 247.61, 0.99, 0.00, 5.97, Car, , 0, 0.00
271.00, KBJ_to_CMB_001_4, 57.78, -0.60, 15.08, 211.00, 0.41, P_to_KBJ_2, 4.30, 0.00, 0.00, tripinfo_0_98, 60.00, 0_98, 0, 223.65, 1.15, 0.00, 45.92, Car, , 1, 33.00
274.00, KBJ_to_CMB_001_4, 57.78, 1.00, 16.83, 245.00, 1.97, P_to_KBJ_2, 2.10, 0.00, 0.00, tripinfo_0_113, 29.00, 0_113, 0, 225.85, 1.11, 0.00, 14.52, Motor_Cycle, , 1, 2.00
275.00, KBJ_to_CMB_002_3, 146.55, 0.00, 15.55, 132.00, 0.31, P_to_KBJ_2, 2.65, 0.00, 0.00, tripinfo_0_54, 143.00, 0_54, 0, 390.46, 0.94, 0.00, 115.36, 3_Wheeler, , 1, 105.00
277.00, KBJ_to_CMB_002_3, 146.55, -0.60, 16.71, 167.00, 0.69, P_to_KBJ_2, 4.30, 0.00, 0.00, tripinfo_0_73, 110.00, 0_73, 0, 388.81, 1.01, 0.00, 83.89, Car, , 1, 72.00
279.00, KBJ_to_CMB_002_3, 146.55, -0.60, 14.93, 173.00, 0.36, P_to_KBJ_2, 4.30, 0.00, 0.00, tripinfo_0_76, 106.00, 0_76, 0, 388.81, 0.90, 0.00, 76.85, Car, , 1, 67.00
280.00, KBJ_to_CMB_001_4, 57.78, -0.60, 18.48, 260.00, 3.05, P_to_KBJ_2, 5.40, 0.00, 0.00, tripinfo_0_119, 20.00, 0_119, 0, 222.55, 1.11, 0.00, 5.06, Van, , 0, 0.00
