interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts,random_seed,scenario
4200.0,4500.0,1416.0, CMB_to_KBJ_001_1,899.0,2311.62,893,208.0,199.0,10.0,4,97.17,4,157.33,99.89,7.71,2.98,53.22,0.31,40.79,3.27,20,23,23,957.0,6.0,2,Static TL
4500.0,4800.0,0.0, CMB_to_KBJ_001_1,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,2,Static TL
4800.0,5100.0,0.0, CMB_to_KBJ_001_1,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,2,Static TL
5100.0,5157.0,0.0, CMB_to_KBJ_001_1,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,2,Static TL
0.0,300.0,139.0, CMB_to_KBJ_001_1,139.0,1158.51,138,139.0,139.0,8.44,1,91.01,2,139.0,139.0,3.86,0.46,40.37,0.41,36.56,0.51,4,4,4,150.15,1.0,3,Static TL
300.0,600.0,71.0, CMB_to_KBJ_001_1,71.0,557.23,70,71.0,71.0,8.9,1,100.0,2,71.0,71.0,1.86,0.23,21.12,0.89,16.52,0.31,5,5,5,87.89,1.0,3,Static TL
600.0,900.0,122.0, CMB_to_KBJ_001_1,122.0,114.38,119,86.0,86.0,10.0,2,99.99,2,40.67,40.67,0.38,0.4,5.37,0.71,18.7,0.48,7,6,7,137.37,3.0,3,Static TL
900.0,1200.0,245.0, CMB_to_KBJ_001_1,220.0,1788.28,219,178.0,178.0,10.0,1,100.0,2,122.5,110.0,5.96,0.73,61.82,0.27,45.92,0.79,4,5,5,233.49,1.0,3,Static TL
1200.0,1500.0,112.0, CMB_to_KBJ_001_1,112.0,994.15,111,112.0,112.0,10.0,1,100.0,2,112.0,112.0,3.31,0.37,35.52,0.78,17.57,0.45,7,7,7,129.19,1.0,3,Static TL
1500.0,1800.0,218.0, CMB_to_KBJ_001_1,218.0,1069.76,214,104.0,104.0,9.05,2,100.0,2,54.5,54.5,3.57,0.71,34.51,0.42,28.57,0.8,8,6,8,234.76,5.0,3,Static TL
1800.0,2100.0,582.0, CMB_to_KBJ_001_1,417.0,1921.94,419,185.0,167.0,10.0,2,79.99,2,145.5,104.25,6.41,1.4,55.76,0.33,33.57,1.52,11,11,13,445.74,3.0,3,Static TL
2100.0,2400.0,625.0, CMB_to_KBJ_001_1,371.0,1716.98,369,187.0,178.0,10.0,2,100.0,2,156.25,92.75,5.72,1.23,47.27,0.47,28.07,1.41,12,14,14,405.63,2.0,3,Static TL
2400.0,2700.0,188.0, CMB_to_KBJ_001_1,188.0,826.34,186,97.0,97.0,9.1,2,92.71,2,94.0,94.0,2.75,0.62,23.11,0.76,17.15,0.75,12,12,12,215.66,3.0,3,Static TL
2700.0,3000.0,378.0, CMB_to_KBJ_001_1,378.0,1320.64,373,99.0,99.0,9.45,3,94.9,3,75.6,75.6,4.4,1.24,36.47,0.41,30.45,1.39,13,11,13,405.87,6.0,3,Static TL
3000.0,3300.0,457.0, CMB_to_KBJ_001_1,316.0,2125.65,314,190.0,190.0,8.65,2,96.8,2,114.25,79.0,7.09,1.05,70.3,0.47,25.93,1.19,11,12,13,347.18,2.0,3,Static TL
3300.0,3600.0,536.0, CMB_to_KBJ_001_1,536.0,1582.66,531,187.0,187.0,9.31,3,100.0,3,107.2,107.2,5.28,1.77,41.93,0.5,25.87,2.04,21,20,22,587.23,6.0,3,Static TL
3600.0,3900.0,523.0, CMB_to_KBJ_001_1,483.0,2169.49,481,185.0,164.0,10.0,2,100.0,2,130.75,120.75,7.23,1.6,60.34,0.27,45.36,1.72,9,9,11,507.96,2.0,3,Static TL
3900.0,4200.0,662.0, CMB_to_KBJ_001_1,506.0,2304.86,504,192.0,160.0,10.0,2,100.0,2,165.5,126.5,7.68,1.68,63.81,0.29,40.33,1.82,11,11,13,534.41,2.0,3,Static TL
4200.0,4500.0,769.0, CMB_to_KBJ_001_1,466.0,2151.88,464,200.0,200.0,9.45,2,100.0,2,192.25,116.5,7.17,1.55,61.02,0.52,23.58,1.77,19,21,21,511.58,2.0,3,Static TL
4500.0,4800.0,0.0, CMB_to_KBJ_001_1,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,3,Static TL
4800.0,5100.0,0.0, CMB_to_KBJ_001_1,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,3,Static TL
5100.0,5153.0,0.0, CMB_to_KBJ_001_1,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,3,Static TL
0.0,300.0,59.0, CMB_to_KBJ_001_2,59.0,488.14,58,59.0,59.0,9.55,1,100.0,2,59.0,59.0,1.63,0.19,19.54,2.15,5.8,0.3,12,12,12,80.37,2.0,1,Static TL
300.0,600.0,17.0, CMB_to_KBJ_001_2,17.0,257.2,35,17.0,17.0,10.0,1,100.0,1,17.0,17.0,0.86,0.12,11.44,3.92,2.66,0.23,17,16,17,59.39,2.0,1,Static TL
600.0,900.0,241.0, CMB_to_KBJ_001_2,224.0,778.1,220,129.0,112.0,8.65,3,68.88,3,48.2,44.8,2.59,0.73,23.92,0.4,23.25,0.82,9,10,10,238.47,4.0,1,Static TL
900.0,1200.0,339.0, CMB_to_KBJ_001_2,339.0,1391.25,352,150.0,150.0,10.0,3,100.0,3,56.5,56.5,4.64,1.17,43.7,0.34,34.24,1.32,11,11,11,385.08,7.0,1,Static TL
1200.0,1500.0,150.0, CMB_to_KBJ_001_2,150.0,628.57,168,146.0,146.0,10.0,2,77.32,2,75.0,75.0,2.1,0.56,21.71,0.99,11.41,0.69,16,16,16,194.26,3.0,1,Static TL
1500.0,1800.0,459.0, CMB_to_KBJ_001_2,459.0,1562.15,470,146.0,146.0,10.0,3,85.33,3,76.5,76.5,5.21,1.57,46.34,0.49,20.81,1.78,24,21,24,514.75,7.0,1,Static TL
1800.0,2100.0,577.0, CMB_to_KBJ_001_2,472.0,1882.89,469,139.0,116.0,10.0,3,100.0,3,96.17,78.67,6.28,1.56,53.53,0.3,37.71,1.71,10,11,13,499.14,3.0,1,Static TL
2100.0,2400.0,528.0, CMB_to_KBJ_001_2,306.0,1456.7,304,140.0,140.0,10.0,2,100.0,2,132.0,76.5,4.86,1.01,43.21,1.08,11.95,1.27,26,27,28,357.83,2.0,1,Static TL
2400.0,2700.0,149.0, CMB_to_KBJ_001_2,149.0,984.29,174,75.0,75.0,10.0,2,100.0,3,21.29,21.29,3.28,0.58,33.15,0.88,14.28,0.75,13,14,14,210.98,8.0,1,Static TL
2700.0,3000.0,297.0, CMB_to_KBJ_001_2,297.0,1501.11,351,83.0,83.0,10.0,3,100.0,3,49.5,49.5,5.0,1.17,46.79,0.48,23.6,1.34,16,13,16,389.34,8.0,1,Static TL
3000.0,3300.0,641.0, CMB_to_KBJ_001_2,469.0,1649.6,489,141.0,125.0,10.0,3,99.14,3,58.27,42.64,5.5,1.63,46.58,0.47,23.15,1.9,20,22,23,548.1,9.0,1,Static TL
3300.0,3600.0,103.0, CMB_to_KBJ_001_2,103.0,913.59,102,103.0,103.0,10.0,1,100.0,2,103.0,103.0,3.05,0.34,34.79,2.54,4.62,0.56,25,26,26,142.09,1.0,1,Static TL
3600.0,3900.0,270.0, CMB_to_KBJ_001_2,270.0,1152.95,265,126.0,126.0,9.45,2,99.51,3,54.0,54.0,3.84,0.88,36.15,0.91,12.85,1.12,23,21,23,313.44,5.0,1,Static TL
3900.0,4200.0,494.0, CMB_to_KBJ_001_2,450.0,1703.21,447,125.0,102.0,10.0,3,100.0,3,98.8,90.0,5.68,1.49,44.16,0.45,25.95,1.65,16,16,18,480.04,3.0,1,Static TL
4200.0,4500.0,716.0, CMB_to_KBJ_001_2,570.0,1431.56,565,159.0,159.0,10.0,4,93.93,4,102.28,81.43,4.77,1.88,38.32,0.75,15.36,2.27,38,39,40,643.7,5.0,1,Static TL
4500.0,4800.0,0.0, CMB_to_KBJ_001_2,0.0,0.0,0,0.0,0.0,0.0,0,65.46,2,0.0,0.0,0.0,0.0,0.43,12.88,0.25,0.02,2,3,3,3.78,0.0,1,Static TL
4800.0,5100.0,0.0, CMB_to_KBJ_001_2,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,1,Static TL
5100.0,5313.0,0.0, CMB_to_KBJ_001_2,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,1,Static TL
0.0,300.0,57.0, CMB_to_KBJ_001_2,57.0,559.01,56,57.0,57.0,10.0,1,100.0,2,57.0,57.0,1.86,0.19,21.16,2.12,5.98,0.29,11,11,11,75.21,1.0,2,Static TL
300.0,600.0,44.0, CMB_to_KBJ_001_2,44.0,253.12,59,21.0,21.0,10.0,2,100.0,3,14.67,14.67,0.84,0.2,11.64,2.44,4.58,0.35,17,15,17,91.41,5.0,2,Static TL
600.0,900.0,362.0, CMB_to_KBJ_001_2,324.0,801.45,338,131.0,111.0,10.0,4,69.97,4,72.4,64.8,2.67,1.13,20.1,0.33,27.18,1.24,11,13,13,360.89,5.0,2,Static TL
900.0,1200.0,272.0, CMB_to_KBJ_001_2,272.0,1131.16,308,150.0,150.0,10.0,3,100.0,3,68.0,68.0,3.77,1.03,36.08,0.38,25.4,1.17,13,13,13,338.74,7.0,2,Static TL
1200.0,1500.0,176.0, CMB_to_KBJ_001_2,176.0,673.57,174,147.0,147.0,10.0,2,100.0,2,88.0,88.0,2.25,0.58,23.24,0.96,13.31,0.71,14,14,14,197.78,2.0,2,Static TL
1500.0,1800.0,341.0, CMB_to_KBJ_001_2,341.0,1808.71,337,145.0,145.0,10.0,2,100.0,2,85.25,85.25,6.03,1.12,53.21,0.65,17.91,1.3,20,19,20,373.31,5.0,2,Static TL
