data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time,random_seed,scenario
4200.0, P_to_KBJ_2,131.59,101.23,140.0,64607,static_vehicle_data
4500.0, :J37_0_0,19.26,11.51,159.0,64607,static_vehicle_data
4500.0, :J37_0_1,18.56,12.86,12.0,64607,static_vehicle_data
4500.0, CMB_to_KBJ_001_1,31.26,25.55,167.0,64607,static_vehicle_data
4500.0, CMB_to_KBJ_001_2,30.1,24.4,113.0,64607,static_vehicle_data
4500.0, CMB_to_KBJ_001_3,31.36,23.16,99.0,64607,static_vehicle_data
4500.0, CMB_to_KBJ_001_4,28.56,19.5,87.0,64607,static_vehicle_data
4500.0, CMB_to_KBJ_002_1,5.76,5.76,29.0,64607,static_vehicle_data
4500.0, MRT_to_KB_001_2,24.2,24.2,39.0,64607,static_vehicle_data
4500.0, MRT_to_KB_001_3,18.41,18.41,32.0,64607,static_vehicle_data
4500.0, MRT_to_KB_001.37_1,0.0,15.15,0.0,64607,static_vehicle_data
4500.0, MRT_to_KB_001.37_2,42.46,34.26,82.0,64607,static_vehicle_data
4500.0, MRT_to_KB_001.37_3,44.61,36.41,81.0,64607,static_vehicle_data
4500.0, MRT_to_KB_001.37_4,41.61,36.61,82.0,64607,static_vehicle_data
4500.0, MRT_to_KB_001.37_5,25.04,25.04,29.0,64607,static_vehicle_data
4500.0, MRT_to_KB_003_2,26.16,26.16,12.0,64607,static_vehicle_data
4500.0, P_to_KBJ_1,130.18,101.38,53.0,64607,static_vehicle_data
4500.0, P_to_KBJ_2,130.78,102.23,172.0,64607,static_vehicle_data
4800.0, P_to_KBJ_1,43.61,43.61,75.0,64607,static_vehicle_data
4800.0, P_to_KBJ_2,75.29,84.78,22.0,64607,static_vehicle_data
5100.0, P_to_KBJ_1,33.76,33.76,130.0,64607,static_vehicle_data
5100.0, P_to_KBJ_2,71.92,71.92,83.0,64607,static_vehicle_data
0.0, MRT_to_KB_001_1,0.0,27.56,0.0,11332,static_vehicle_data
300.0, CMB_to_KBJ_001_1,3.0,3.0,13.0,11332,static_vehicle_data
300.0, MRT_to_KB_001.37_1,0.0,15.18,0.0,11332,static_vehicle_data
300.0, MRT_to_KB_001.37_5,12.0,12.0,69.0,11332,static_vehicle_data
300.0, P_to_KBJ_1,22.15,22.15,77.0,11332,static_vehicle_data
300.0, P_to_KBJ_2,12.6,12.6,46.0,11332,static_vehicle_data
600.0, CMB_to_KBJ_001_2,10.2,10.2,37.0,11332,static_vehicle_data
600.0, CMB_to_KBJ_001_3,5.2,5.2,39.0,11332,static_vehicle_data
600.0, CMB_to_KBJ_001_4,3.55,3.55,7.0,11332,static_vehicle_data
600.0, KBJ_to_CMB_001_1,0.0,24.96,0.0,11332,static_vehicle_data
600.0, MRT_to_KB_001_1,0.0,27.56,0.0,11332,static_vehicle_data
600.0, P_to_KBJ_1,11.2,11.2,182.0,11332,static_vehicle_data
600.0, P_to_KBJ_2,8.85,8.85,122.0,11332,static_vehicle_data
900.0, CMB_to_KBJ_001_1,8.55,8.55,57.0,11332,static_vehicle_data
900.0, CMB_to_KBJ_001_2,10.9,10.9,94.0,11332,static_vehicle_data
900.0, CMB_to_KBJ_001_3,6.3,6.3,40.0,11332,static_vehicle_data
900.0, MRT_to_KB_001.37_1,0.0,15.14,0.0,11332,static_vehicle_data
900.0, MRT_to_KB_001.37_2,37.56,31.86,69.0,11332,static_vehicle_data
900.0, MRT_to_KB_001.37_3,33.46,33.46,68.0,11332,static_vehicle_data
900.0, MRT_to_KB_001.37_4,28.16,28.16,65.0,11332,static_vehicle_data
900.0, MRT_to_KB_001.37_5,3.0,3.0,5.0,11332,static_vehicle_data
900.0, P_to_KBJ_1,5.2,5.2,1.0,11332,static_vehicle_data
900.0, P_to_KBJ_2,38.81,38.81,79.0,11332,static_vehicle_data
1200.0, KBJ_to_CMB_001_1,0.0,24.95,0.0,11332,static_vehicle_data
1200.0, MRT_to_KB_001_1,0.0,27.56,0.0,11332,static_vehicle_data
1200.0, MRT_to_KB_001_2,22.71,22.71,74.0,11332,static_vehicle_data
1200.0, MRT_to_KB_001_3,24.06,20.71,72.0,11332,static_vehicle_data
1200.0, MRT_to_KB_001_4,25.56,22.21,37.0,11332,static_vehicle_data
1200.0, MRT_to_KB_001.37_2,38.11,31.18,77.0,11332,static_vehicle_data
1200.0, MRT_to_KB_001.37_3,36.81,33.46,96.0,11332,static_vehicle_data
1200.0, MRT_to_KB_001.37_4,36.11,33.61,78.0,11332,static_vehicle_data
1200.0, MRT_to_KB_001.37_5,30.76,30.76,52.0,11332,static_vehicle_data
1200.0, MRT_to_KB_003_2,30.46,30.46,29.0,11332,static_vehicle_data
1200.0, P_to_KBJ_1,6.35,6.35,25.0,11332,static_vehicle_data
1500.0, KBJ_to_CMB_002_1,0.0,33.28,0.0,11332,static_vehicle_data
1500.0, MRT_to_KB_001.37_1,0.0,15.14,0.0,11332,static_vehicle_data
1500.0, MRT_to_KB_001.37_5,10.9,10.9,50.0,11332,static_vehicle_data
1500.0, P_to_KBJ_1,12.0,12.0,60.0,11332,static_vehicle_data
1500.0, P_to_KBJ_2,27.61,27.61,64.0,11332,static_vehicle_data
1800.0, CMB_to_KBJ_001_1,6.3,6.3,60.0,11332,static_vehicle_data
1800.0, CMB_to_KBJ_001_2,16.75,16.75,41.0,11332,static_vehicle_data
1800.0, CMB_to_KBJ_001_3,5.2,5.2,40.0,11332,static_vehicle_data
1800.0, KBJ_to_CMB_001_1,0.0,24.97,0.0,11332,static_vehicle_data
1800.0, MRT_to_KB_001_1,0.0,27.56,0.0,11332,static_vehicle_data
1800.0, MRT_to_KB_001.37_2,6.3,12.04,12.0,11332,static_vehicle_data
1800.0, MRT_to_KB_001.37_3,5.2,5.2,8.0,11332,static_vehicle_data
1800.0, MRT_to_KB_001.37_4,8.7,8.7,7.0,11332,static_vehicle_data
1800.0, P_to_KBJ_1,0.0,15.59,0.0,11332,static_vehicle_data
1800.0, P_to_KBJ_2,42.82,42.82,128.0,11332,static_vehicle_data
2100.0, CMB_to_KBJ_001_1,23.96,23.96,87.0,11332,static_vehicle_data
2100.0, CMB_to_KBJ_001_2,12.65,12.65,106.0,11332,static_vehicle_data
2100.0, CMB_to_KBJ_001_3,10.2,10.2,98.0,11332,static_vehicle_data
2100.0, CMB_to_KBJ_001_4,8.0,8.0,64.0,11332,static_vehicle_data
2100.0, MRT_to_KB_001_2,5.2,5.2,8.0,11332,static_vehicle_data
2100.0, MRT_to_KB_001_3,0.0,6.33,0.0,11332,static_vehicle_data
2100.0, MRT_to_KB_001.37_1,0.0,15.14,0.0,11332,static_vehicle_data
2100.0, MRT_to_KB_001.37_2,38.06,33.06,72.0,11332,static_vehicle_data
2100.0, MRT_to_KB_001.37_3,41.16,35.31,68.0,11332,static_vehicle_data
2100.0, MRT_to_KB_001.37_4,41.46,33.26,62.0,11332,static_vehicle_data
2100.0, MRT_to_KB_001.37_5,24.55,24.55,30.0,11332,static_vehicle_data
2100.0, P_to_KBJ_2,99.02,99.02,119.0,11332,static_vehicle_data
2400.0, KBJ_to_CMB_001_1,0.0,24.95,0.0,11332,static_vehicle_data
2400.0, MRT_to_KB_001_1,0.0,27.56,0.0,11332,static_vehicle_data
2400.0, MRT_to_KB_001_2,23.51,20.16,62.0,11332,static_vehicle_data
2400.0, MRT_to_KB_001_3,22.21,22.21,52.0,11332,static_vehicle_data
