tripinfo_arrival, tripinfo_arrivalLane, tripinfo_arrivalPos, tripinfo_arrivalPosLat, tripinfo_arrivalSpeed, tripinfo_depart, tripinfo_departDelay, tripinfo_departLane, tripinfo_departPos, tripinfo_departPosLat, tripinfo_departSpeed, tripinfo_devices, tripinfo_duration, tripinfo_id, tripinfo_rerouteNo, tripinfo_routeLength, tripinfo_speedFactor, tripinfo_stopTime, tripinfo_timeLoss, tripinfo_vType, tripinfo_vaporized, tripinfo_waitingCount, tripinfo_waitingTime,random_seed,scenario
157.0, KBJ_to_CMB_001_2,57.78,-0.0,14.35,113.0,0.33, MRT_to_KB_003_2,2.65,0.0,0.0, tripinfo_0_45,44.0, 0_45,0,233.64,0.91,0.0,26.05, 3_Wheeler, ,2,11.0,64607,dynamic_DQL_vehicle_data
160.0, KBJ_to_CMB_002_2,146.55,-1.05,15.06,116.0,0.47, MRT_to_KB_001.37_2,2.1,0.0,0.0, tripinfo_0_46,44.0, 0_46,0,299.99,0.95,0.0,23.83, Motor_Cycle, ,1,14.0,64607,dynamic_DQL_vehicle_data
160.0, KBJ_to_CMB_001_2,57.78,0.5,18.21,143.0,0.75, MRT_to_KB_001.37_2,4.3,0.0,0.0, tripinfo_0_58,17.0, 0_58,0,132.63,1.12,0.0,8.4, Car, ,0,0.0,64607,dynamic_DQL_vehicle_data
162.0, KBJ_to_CMB_002_3,146.55,-0.6,14.26,85.0,0.77, MRT_to_KB_001.37_2,5.4,0.0,0.0, tripinfo_0_33,77.0, 0_33,0,296.69,0.86,0.0,54.54, Van, ,1,46.0,64607,dynamic_DQL_vehicle_data
163.0, KBJ_to_CMB_002_3,146.55,-0.6,15.13,84.0,0.02, MRT_to_KB_001_2,5.4,0.0,0.0, tripinfo_0_32,79.0, 0_32,0,345.48,0.92,0.0,54.87, Van, ,1,43.0,64607,dynamic_DQL_vehicle_data
165.0, 30093400_1,127.33,-0.75,8.2,24.0,0.46, CMB_to_KBJ_003_2,2.1,0.0,0.0, tripinfo_0_13,141.0, 0_13,0,437.99,1.02,0.0,106.24, Motor_Cycle, ,1,93.0,64607,dynamic_DQL_vehicle_data
165.0, KBJ_to_CMB_002_2,146.55,-1.25,10.79,66.0,1.25, MRT_to_KB_001.37_3,2.65,0.0,0.0, tripinfo_0_28,99.0, 0_28,0,299.44,0.68,0.0,71.17, 3_Wheeler, ,1,63.0,64607,dynamic_DQL_vehicle_data
165.0, KBJ_to_CMB_001_2,57.78,-0.0,16.55,151.0,0.21, MRT_to_KB_001.37_2,2.65,0.0,0.0, tripinfo_0_62,14.0, 0_62,0,134.28,1.01,0.0,4.65, 3_Wheeler, ,0,0.0,64607,dynamic_DQL_vehicle_data
166.0, 30093400_1,127.33,1.15,6.98,76.0,0.93, CMB_to_KBJ_003_2,2.1,0.0,0.0, tripinfo_0_30,90.0, 0_30,0,437.99,1.02,0.0,55.7, Motor_Cycle, ,1,40.0,64607,dynamic_DQL_vehicle_data
167.0, KBJ_to_CMB_002_3,146.55,-0.5,15.21,96.0,0.92, MRT_to_KB_003_1,2.65,0.0,0.0, tripinfo_0_37,71.0, 0_37,0,398.8,1.24,0.0,46.97, 3_Wheeler, ,1,28.0,64607,dynamic_DQL_vehicle_data
167.0, KBJ_to_CMB_002_2,146.55,0.25,13.83,117.0,0.55, MRT_to_KB_001_2,2.65,0.0,0.0, tripinfo_0_48,50.0, 0_48,0,348.23,0.91,0.0,24.89, 3_Wheeler, ,1,8.0,64607,dynamic_DQL_vehicle_data
169.0, KBJ_to_CMB_002_3,146.55,-0.6,17.41,86.0,0.04, MRT_to_KB_001_3,4.3,0.0,0.0, tripinfo_0_34,83.0, 0_34,0,346.58,1.1,0.0,62.24, Car, ,1,42.0,64607,dynamic_DQL_vehicle_data
170.0, KBJ_to_CMB_002_3,146.55,-0.5,15.84,108.0,0.15, MRT_to_KB_003_1,2.65,0.0,0.0, tripinfo_0_41,62.0, 0_41,0,398.8,1.12,0.0,37.34, 3_Wheeler, ,1,20.0,64607,dynamic_DQL_vehicle_data
170.0, KBJ_to_CMB_002_2,146.55,-1.05,13.85,121.0,1.45, MRT_to_KB_001_2,2.1,0.0,0.0, tripinfo_0_49,49.0, 0_49,0,348.78,0.99,0.0,26.27, Motor_Cycle, ,1,8.0,64607,dynamic_DQL_vehicle_data
171.0, 30093400_1,127.33,-0.42,8.07,51.0,0.15, CMB_to_KBJ_001_2,6.35,0.0,0.0, tripinfo_0_23,120.0, 0_23,0,240.01,0.98,0.0,94.97, Goods_Vehicle, ,1,81.0,64607,dynamic_DQL_vehicle_data
171.0, KBJ_to_CMB_002_2,146.55,0.45,14.42,116.0,0.17, MRT_to_KB_003_1,2.65,0.0,0.0, tripinfo_0_47,55.0, 0_47,0,398.8,1.14,0.0,30.35, 3_Wheeler, ,1,6.0,64607,dynamic_DQL_vehicle_data
172.0, KBJ_to_CMB_002_3,146.55,-0.6,14.24,109.0,0.94, MRT_to_KB_001.37_4,4.3,0.0,0.0, tripinfo_0_42,63.0, 0_42,0,297.79,0.9,0.0,41.91, Car, ,1,27.0,64607,dynamic_DQL_vehicle_data
173.0, 30093400_1,127.33,0.05,8.33,82.0,0.75, CMB_to_KBJ_003_2,2.65,0.0,0.0, tripinfo_0_31,91.0, 0_31,0,437.44,1.1,0.0,57.15, 3_Wheeler, ,1,37.0,64607,dynamic_DQL_vehicle_data
173.0, KBJ_to_CMB_002_2,146.55,0.45,16.33,108.0,1.21, MRT_to_KB_001.37_2,4.3,0.0,0.0, tripinfo_0_40,65.0, 0_40,0,297.79,1.1,0.0,47.41, Car, ,1,27.0,64607,dynamic_DQL_vehicle_data
173.0, KBJ_to_CMB_002_3,146.55,0.0,15.42,148.0,0.24, MRT_to_KB_001.37_4,2.65,0.0,0.0, tripinfo_0_60,25.0, 0_60,0,299.44,0.94,0.0,5.31, 3_Wheeler, ,0,0.0,64607,dynamic_DQL_vehicle_data
173.0, KBJ_to_CMB_001_2,57.78,-0.7,18.17,154.0,0.6, MRT_to_KB_003_1,4.3,0.0,0.0, tripinfo_0_64,19.0, 0_64,0,231.99,1.14,0.0,4.58, Car, ,0,0.0,64607,dynamic_DQL_vehicle_data
174.0, KBJ_to_CMB_002_2,146.55,-0.45,16.57,129.0,0.54, MRT_to_KB_001_2,4.3,0.0,0.0, tripinfo_0_52,45.0, 0_52,0,346.58,1.06,0.0,23.96, Car, ,1,4.0,64607,dynamic_DQL_vehicle_data
176.0, KBJ_to_CMB_002_3,146.55,-1.2,16.35,138.0,0.52, MRT_to_KB_001.37_2,2.1,0.0,0.0, tripinfo_0_55,38.0, 0_55,0,299.99,1.02,0.0,18.99, Motor_Cycle, ,0,0.0,64607,dynamic_DQL_vehicle_data
176.0, KBJ_to_CMB_002_2,146.55,-0.05,15.0,140.0,0.32, MRT_to_KB_003_1,2.1,0.0,0.0, tripinfo_0_56,36.0, 0_56,0,399.35,1.02,0.0,10.57, Motor_Cycle, ,0,0.0,64607,dynamic_DQL_vehicle_data
177.0, 30093400_1,127.33,0.0,7.36,123.0,0.31, CMB_to_KBJ_002_2,2.65,0.0,0.0, tripinfo_0_50,54.0, 0_50,0,286.83,0.92,0.0,25.76, 3_Wheeler, ,1,7.0,64607,dynamic_DQL_vehicle_data
177.0, KB_to_MRT_002_2,130.27,-0.2,13.76,155.0,0.11, CMB_to_KBJ_001_2,2.1,0.0,0.0, tripinfo_0_65,22.0, 0_65,0,252.04,0.89,0.0,4.5, Motor_Cycle, ,0,0.0,64607,dynamic_DQL_vehicle_data
