tripinfo_arrival, tripinfo_arrivalLane, tripinfo_arrivalPos, tripinfo_arrivalPosLat, tripinfo_arrivalSpeed, tripinfo_depart, tripinfo_departDelay, tripinfo_departLane, tripinfo_departPos, tripinfo_departPosLat, tripinfo_departSpeed, tripinfo_devices, tripinfo_duration, tripinfo_id, tripinfo_rerouteNo, tripinfo_routeLength, tripinfo_speedFactor, tripinfo_stopTime, tripinfo_timeLoss, tripinfo_vType, tripinfo_vaporized, tripinfo_waitingCount, tripinfo_waitingTime
166.00, KBJ_to_CMB_002_3, 146.55, 0.40, 15.57, 108.00, 1.21, MRT_to_KB_001.37_4, 4.30, 0.00, 0.00, tripinfo_0_40, 58.00, 0_40, 0, 297.79, 0.98, 0.00, 38.83, Car, , 1, 27.00
168.00, KBJ_to_CMB_002_3, 146.55, -1.20, 14.37, 109.00, 0.94, MRT_to_KB_001.37_2, 2.65, 0.00, 0.00, tripinfo_0_42, 59.00, 0_42, 0, 299.44, 0.91, 0.00, 37.67, 3_Wheeler, , 2, 22.00
169.00, KBJ_to_CMB_002_2, 146.55, -0.45, 12.88, 116.00, 0.47, MRT_to_KB_001.37_2, 4.30, 0.00, 0.00, tripinfo_0_46, 53.00, 0_46, 0, 297.79, 0.78, 0.00, 28.57, Car, , 2, 18.00
169.00, KBJ_to_CMB_002_3, 146.55, -0.20, 16.12, 116.00, 0.17, MRT_to_KB_003_1, 4.30, 0.00, 0.00, tripinfo_0_47, 53.00, 0_47, 0, 397.15, 1.09, 0.00, 29.08, Car, , 2, 9.00
170.00, KBJ_to_CMB_002_2, 146.55, -0.45, 13.17, 108.00, 0.15, MRT_to_KB_003_1, 4.30, 0.00, 0.00, tripinfo_0_41, 62.00, 0_41, 0, 397.15, 0.90, 0.00, 33.47, Car, , 2, 18.00
171.00, 30093400_1, 127.33, -0.75, 6.03, 24.00, 0.46, CMB_to_KBJ_003_2, 2.10, 0.00, 0.00, tripinfo_0_13, 147.00, 0_13, 0, 437.99, 0.92, 0.00, 109.12, Motor_Cycle, , 1, 96.00
171.00, KBJ_to_CMB_002_3, 146.55, -0.60, 15.78, 138.00, 0.52, MRT_to_KB_001.37_4, 4.30, 0.00, 0.00, tripinfo_0_55, 33.00, 0_55, 0, 297.79, 1.00, 0.00, 13.71, Car, , 0, 0.00
172.00, KBJ_to_CMB_002_2, 146.55, -0.45, 12.73, 117.00, 0.55, MRT_to_KB_001_2, 4.30, 0.00, 0.00, tripinfo_0_48, 55.00, 0_48, 0, 346.58, 0.81, 0.00, 27.15, Car, , 2, 12.00
172.00, KBJ_to_CMB_002_3, 146.55, -0.20, 15.38, 148.00, 0.24, MRT_to_KB_001.37_4, 4.30, 0.00, 0.00, tripinfo_0_60, 24.00, 0_60, 0, 297.79, 0.98, 0.00, 4.72, Car, , 0, 0.00
173.00, KBJ_to_CMB_002_2, 146.55, 0.45, 14.48, 129.00, 0.54, MRT_to_KB_001_2, 4.30, 0.00, 0.00, tripinfo_0_52, 44.00, 0_52, 0, 346.58, 0.91, 0.00, 19.57, Car, , 1, 3.00
174.00, KBJ_to_CMB_001_2, 57.78, 0.00, 17.77, 154.00, 0.60, MRT_to_KB_003_1, 2.10, 0.00, 0.00, tripinfo_0_64, 20.00, 0_64, 0, 234.19, 1.08, 0.00, 4.64, Motor_Cycle, , 0, 0.00
175.00, KBJ_to_CMB_002_2, 146.55, -0.25, 14.25, 121.00, 1.45, MRT_to_KB_001_2, 2.65, 0.00, 0.00, tripinfo_0_49, 54.00, 0_49, 0, 348.23, 0.87, 0.00, 28.06, 3_Wheeler, , 2, 9.00
175.00, KBJ_to_CMB_002_3, 146.55, -0.90, 16.22, 126.00, 0.12, MRT_to_KB_003_1, 2.65, 0.00, 0.00, tripinfo_0_51, 49.00, 0_51, 0, 398.80, 1.03, 0.00, 23.48, 3_Wheeler, , 1, 1.00
176.00, 30093400_1, 127.33, -0.05, 7.99, 51.00, 0.15, CMB_to_KBJ_001_2, 2.65, 0.00, 0.00, tripinfo_0_23, 125.00, 0_23, 0, 243.71, 1.05, 0.00, 101.39, 3_Wheeler, , 1, 83.00
176.00, KB_to_MRT_002_2, 130.27, -0.20, 15.93, 155.00, 0.11, CMB_to_KBJ_001_2, 2.65, 0.00, 0.00, tripinfo_0_65, 21.00, 0_65, 0, 251.49, 1.05, 0.00, 5.86, 3_Wheeler, , 0, 0.00
177.00, KBJ_to_CMB_002_3, 146.55, 0.40, 15.61, 140.00, 0.32, MRT_to_KB_003_1, 4.30, 0.00, 0.00, tripinfo_0_56, 37.00, 0_56, 0, 397.15, 0.94, 0.00, 9.16, Car, , 0, 0.00
177.00, KBJ_to_CMB_002_2, 146.55, 0.25, 15.57, 148.00, 0.52, MRT_to_KB_001.37_2, 2.65, 0.00, 0.00, tripinfo_0_59, 29.00, 0_59, 0, 299.44, 0.96, 0.00, 8.91, 3_Wheeler, , 0, 0.00
178.00, 30093400_1, 127.33, -0.55, 8.08, 76.00, 0.93, CMB_to_KBJ_003_2, 4.30, 0.00, 0.00, tripinfo_0_30, 102.00, 0_30, 0, 435.79, 1.03, 0.00, 67.34, Car, , 1, 48.00
178.00, KBJ_to_CMB_002_2, 146.55, 0.45, 16.51, 143.00, 0.96, MRT_to_KB_003_2, 2.65, 0.00, 0.00, tripinfo_0_57, 35.00, 0_57, 0, 398.80, 1.08, 0.00, 9.62, 3_Wheeler, , 0, 0.00
178.00, KBJ_to_CMB_001_4, 57.78, 0.00, 16.24, 164.00, 1.81, MRT_to_KB_001.37_4, 2.10, 0.00, 0.00, tripinfo_0_69, 14.00, 0_69, 0, 134.83, 0.99, 0.00, 4.21, Motor_Cycle, , 0, 0.00
178.00, KBJ_to_CMB_001_3, 57.78, 0.00, 14.68, 165.00, 2.21, MRT_to_KB_001.37_3, 2.10, 0.00, 0.00, tripinfo_0_70, 13.00, 0_70, 0, 134.83, 0.96, 0.00, 3.40, Motor_Cycle, , 0, 0.00
180.00, KBJ_to_CMB_002_2, 146.55, -0.45, 16.52, 151.00, 0.06, MRT_to_KB_001_2, 4.30, 0.00, 0.00, tripinfo_0_63, 29.00, 0_63, 0, 346.58, 1.01, 0.00, 6.45, Car, , 0, 0.00
181.00, KBJ_to_CMB_002_2, 146.55, -1.05, 16.30, 156.00, 0.50, MRT_to_KB_001_2, 2.10, 0.00, 0.00, tripinfo_0_66, 25.00, 0_66, 0, 348.78, 1.08, 0.00, 4.46, Motor_Cycle, , 0, 0.00
183.00, KBJ_to_CMB_002_1, 146.55, 0.00, 5.52, 0.00, 0.00, MRT_to_KB_001_1, 12.10, 0.00, 0.00, tripinfo_bus_100/101/400/412/418/428/430/433:0.0, 183.00, bus_100/101/400/412/418/428/430/433:0.0, 0, 338.78, 1.00, 118.00, 43.48, bus, , 0, 0.00
184.00, 30093400_1, 127.33, 0.05, 7.14, 123.00, 0.31, CMB_to_KBJ_002_2, 2.65, 0.00, 0.00, tripinfo_0_50, 61.00, 0_50, 0, 286.83, 0.86, 0.00, 30.36, 3_Wheeler, , 1, 10.00
